Time(ms),Location(m),Speed(m/s)
118900,8619.33,40.02
119000,8623.33,39.96
119100,8627.32,39.9
119200,8631.31,39.84
119300,8635.29,39.78
119400,8639.26,39.72
119500,8643.23,39.66
119600,8647.19,39.6
119700,8651.15,39.54
119800,8655.1,39.48
119900,8659.05,39.42
120000,8662.99,39.36
120100,8666.92,39.3
120200,8670.85,39.24
120300,8674.77,39.18
120400,8678.68,39.12
120500,8682.59,39.06
120600,8686.49,39
120700,8690.39,38.94
120800,8694.28,38.88
120900,8698.17,38.82
121000,8702.05,38.76
121100,8705.92,38.7
121200,8709.79,38.64
121300,8713.65,38.58
121400,8717.5,38.52
121500,8721.35,38.46
121600,8725.19,38.4
121700,8729.03,38.34
121800,8732.86,38.28
121900,8736.69,38.22
122000,8740.51,38.16
122100,8744.32,38.1
122200,8748.13,38.04
122300,8751.93,37.98
122400,8755.72,37.92
122500,8759.51,37.86
122600,8763.29,37.8
122700,8767.07,37.74
122800,8770.84,37.68
122900,8774.61,37.62
123000,8778.37,37.56
123100,8782.12,37.5
123200,8785.87,37.44
123300,8789.61,37.38
123400,8793.34,37.32
123500,8797.07,37.26
123600,8800.79,37.2
123700,8804.51,37.14
123800,8808.22,37.08
123900,8811.93,37.02
124000,8815.63,36.96
124100,8819.32,36.9
124200,8823.01,36.84
124300,8826.69,36.78
124400,8830.36,36.72
124500,8834.03,36.66
124600,8837.69,36.6
124700,8841.35,36.54
124800,8845,36.48
124900,8848.65,36.42
125000,8852.29,36.36
125100,8855.92,36.3
125200,8859.55,36.24
125300,8863.17,36.18
125400,8866.78,36.12
125500,8870.39,36.06
125600,8873.99,36
125700,8877.59,35.94
125800,8881.18,35.88
125900,8884.77,35.82
126000,8888.35,35.76
126100,8891.92,35.7
126200,8895.49,35.64
126300,8899.05,35.58
126400,8902.6,35.52
126500,8906.15,35.46
